Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
C,43,2015,48,Business,Salaried,IT,IT,132503,31263,ABC,1,Salaried:137337,Self Business:69601,Salaried:75270,0
P,45,2018,67,Business,Contractual,Finance,Finance,105705,42340,ABC,1,Self Business:58198,Contractual:43244,Contractual:135172,0
D,49,2021,89,Business,Self Business,IT,Civil,83567,29369,TUK,0,NA,NA,NA,1
D,45,2002,86,STEM,Self Business,Civil,Civil,89088,64158,GHI,1,Salaried:89246,Salaried:106287,Self Business:101240,0
P,44,2002,66,STEM,Contractual,Agriculture,Civil,133983,46473,GHI,0,NA,NA,NA,1
D,47,2000,88,Arts,Self Business,Finance,IT,142213,79630,GHI,1,Contractual:38786,Self Business:29362,Salaried:39695,1
D,41,2002,48,Business,Salaried,Agriculture,Agriculture,86277,79220,GHI,1,Contractual:146382,Self Business:64948,Salaried:102262,1
D,50,2002,73,Law,Contractual,Agriculture,IT,22052,75897,ABC,1,Salaried:121061,Contractual:58100,Contractual:127245,1
Q,50,2008,90,Business,Self Business,IT,Agriculture,78407,20849,GHI,1,Salaried:85729,Salaried:138314,Salaried:85993,0
D,48,2008,62,Arts,Contractual,Civil,Agriculture,71128,32653,TUK,0,NA,NA,NA,0
P,46,1998,87,Law,Self Business,Finance,Civil,102520,22987,XYZ,1,Salaried:44523,Salaried:121644,Salaried:93347,0
P,44,2001,52,Arts,Salaried,Agriculture,Finance,80219,22202,XYZ,0,NA,NA,NA,1
Q,41,2014,87,Law,Self Business,Civil,Finance,123188,29009,TUK,0,NA,NA,NA,0
P,40,2012,83,STEM,Salaried,IT,Civil,101486,74784,PQR,0,NA,NA,NA,1
Q,50,2020,62,STEM,Self Business,Finance,Civil,53356,34027,ABC,0,NA,NA,NA,1
Q,48,2013,61,Law,Salaried,Agriculture,Civil,43636,77332,MNP,1,Salaried:47670,Self Business:80113,Self Business:133980,0
P,47,2022,67,Arts,Self Business,IT,Agriculture,76421,38105,TUK,1,Contractual:25655,Self Business:30563,Self Business:40456,1
P,45,2007,41,Business,Contractual,IT,Civil,131264,71176,ABC,1,Contractual:109399,Contractual:68602,Salaried:51878,1
C,43,2009,68,Law,Self Business,Civil,Agriculture,109682,30965,MNP,1,Contractual:124593,Self Business:44105,Self Business:56537,0
D,43,2011,88,STEM,Contractual,Finance,Finance,118773,75064,TUK,0,NA,NA,NA,0
D,49,2007,63,STEM,Contractual,IT,Agriculture,26074,22246,PQR,1,Contractual:111953,Self Business:133997,Salaried:79014,1
D,50,2001,69,Business,Salaried,Civil,Agriculture,64401,74156,XYZ,0,NA,NA,NA,1
P,50,2009,74,Law,Salaried,Civil,IT,41629,71961,MNP,1,Contractual:134458,Salaried:49204,Self Business:70951,1
Q,41,2011,87,Business,Contractual,IT,Agriculture,62143,22353,GHI,1,Self Business:109790,Contractual:88972,Salaried:95897,0
D,42,1998,63,STEM,Salaried,Agriculture,IT,83154,29105,GHI,1,Self Business:24207,Salaried:38541,Self Business:40832,1
Q,41,2001,49,Law,Self Business,Civil,Agriculture,104272,37890,MNP,1,Salaried:22845,Salaried:37811,Contractual:40479,1
Q,50,2018,84,Arts,Salaried,Civil,Agriculture,66718,41266,TUK,0,NA,NA,NA,0
Q,48,2002,56,STEM,Contractual,Finance,IT,74735,72514,ABC,1,Self Business:146732,Salaried:65452,Salaried:113949,1
C,50,2007,50,Business,Self Business,Agriculture,Civil,116572,78289,TUK,0,NA,NA,NA,0
D,43,2009,61,STEM,Self Business,Civil,Civil,104557,26532,MNP,1,Salaried:125886,Contractual:132905,Self Business:80792,0
Q,44,2002,87,Business,Contractual,Agriculture,IT,70323,39065,ABC,1,Contractual:96266,Salaried:118330,Self Business:123963,1
C,41,2020,60,Law,Contractual,Finance,Finance,64497,37396,GHI,1,Self Business:88492,Salaried:61514,Contractual:132581,0
Q,45,2009,80,Law,Salaried,Agriculture,Civil,45076,74974,PQR,0,NA,NA,NA,1
P,45,2011,53,Arts,Contractual,Agriculture,Finance,59649,24423,XYZ,1,Contractual:108431,Self Business:135768,Contractual:58935,1
Q,50,1998,67,Arts,Contractual,Agriculture,Civil,73243,37736,TUK,1,Salaried:149356,Self Business:46483,Contractual:146445,0
D,41,2002,60,STEM,Self Business,Civil,Civil,77456,38948,GHI,1,Self Business:29718,Salaried:21123,Contractual:40947,1
P,41,2015,67,Arts,Self Business,Agriculture,IT,145162,32461,GHI,1,Salaried:83557,Salaried:53834,Contractual:52572,1
C,42,2021,40,Business,Self Business,Agriculture,Civil,126024,42701,MNP,0,NA,NA,NA,1
P,41,2021,59,Business,Self Business,Finance,Agriculture,74677,34637,PQR,1,Contractual:54460,Contractual:44888,Contractual:63112,1
P,43,2001,58,STEM,Salaried,Finance,IT,85885,59852,ABC,1,Contractual:110755,Salaried:127898,Contractual:141863,1
C,48,2019,43,Arts,Salaried,Finance,Agriculture,46262,20453,XYZ,0,NA,NA,NA,0
C,48,2020,49,Arts,Self Business,Civil,Civil,95266,71257,TUK,1,Salaried:106269,Contractual:76829,Contractual:84267,1
P,47,2001,53,Business,Contractual,Civil,IT,20194,47726,MNP,0,NA,NA,NA,1
P,43,2011,49,STEM,Contractual,Civil,IT,71154,63575,PQR,1,Salaried:40685,Self Business:61800,Salaried:129715,1
Q,43,2003,82,STEM,Contractual,Finance,Agriculture,100105,40486,ABC,1,Salaried:100228,Contractual:82974,Contractual:70169,0
P,49,2021,68,Business,Self Business,Civil,Civil,84256,51404,XYZ,1,Contractual:64260,Self Business:90065,Contractual:72875,1
Q,44,2001,56,Arts,Salaried,Finance,Civil,40648,46982,ABC,1,Salaried:45835,Contractual:108226,Contractual:86233,0
C,49,2002,46,Law,Contractual,IT,Finance,102371,23634,GHI,0,NA,NA,NA,1
Q,41,2006,87,STEM,Contractual,Civil,Finance,88699,37096,MNP,0,NA,NA,NA,0
C,48,2001,66,Law,Self Business,IT,IT,131379,64738,ABC,1,Self Business:58115,Salaried:80727,Self Business:92773,1
C,43,2008,54,Law,Salaried,IT,Agriculture,50132,65815,MNP,0,NA,NA,NA,0
Q,47,2019,56,Business,Salaried,Agriculture,Civil,60679,77696,PQR,0,NA,NA,NA,0
Q,46,2007,64,Arts,Contractual,Finance,Civil,134814,73745,PQR,1,Contractual:111558,Self Business:71248,Salaried:56156,0
C,47,2008,44,STEM,Self Business,Civil,Finance,142307,75284,XYZ,1,Contractual:59259,Self Business:134806,Salaried:139430,0
P,40,2005,44,Arts,Contractual,IT,Agriculture,74400,53853,ABC,0,NA,NA,NA,0
C,47,2001,49,Arts,Self Business,Finance,IT,81786,52624,GHI,1,Contractual:131212,Salaried:67933,Salaried:86163,0
Q,45,2021,84,Law,Self Business,Civil,Agriculture,107909,64924,TUK,0,NA,NA,NA,0
P,48,2016,61,Law,Self Business,Civil,Finance,136361,20814,GHI,1,Self Business:55503,Contractual:126143,Self Business:145762,0
C,41,2004,42,STEM,Self Business,Finance,Civil,49709,49682,PQR,0,NA,NA,NA,0
Q,40,2012,84,Law,Salaried,Agriculture,Agriculture,95267,34701,XYZ,1,Self Business:69187,Contractual:147955,Salaried:112710,0
C,40,2016,71,Law,Contractual,IT,Agriculture,109528,38655,XYZ,1,Contractual:130523,Contractual:61635,Contractual:125558,1
Q,40,2012,57,Business,Contractual,Finance,IT,117340,28150,GHI,1,Contractual:118659,Self Business:137297,Salaried:120086,0
P,43,2011,79,Arts,Salaried,Agriculture,Civil,81104,79572,TUK,1,Contractual:103439,Self Business:138363,Contractual:50283,0
C,44,2000,63,Business,Self Business,Civil,Finance,97604,67147,GHI,0,NA,NA,NA,0
Q,46,2023,43,Arts,Self Business,Finance,Finance,93243,70369,PQR,1,Salaried:84447,Salaried:51126,Salaried:136146,0
P,44,2004,61,Law,Self Business,IT,Agriculture,94079,49577,MNP,0,NA,NA,NA,0
Q,47,2008,52,Law,Contractual,IT,Agriculture,101158,40598,XYZ,1,Self Business:55283,Salaried:46709,Self Business:93715,0
P,42,2006,72,Arts,Self Business,Finance,Agriculture,125601,70972,PQR,1,Salaried:101848,Salaried:102584,Self Business:77113,0
C,46,1999,82,Law,Salaried,Civil,Agriculture,146071,66097,ABC,1,Salaried:105535,Contractual:121451,Salaried:144805,0
C,42,1999,73,Law,Salaried,Agriculture,Finance,122294,62853,ABC,1,Salaried:46505,Salaried:79252,Salaried:73369,0
P,49,2020,85,STEM,Contractual,IT,Civil,43310,41851,GHI,0,NA,NA,NA,0
D,40,2020,81,Business,Self Business,Civil,Civil,51988,57775,MNP,1,Salaried:59272,Contractual:76372,Salaried:108303,1
Q,40,2018,79,Arts,Salaried,Agriculture,Finance,84030,21745,ABC,1,Salaried:40259,Contractual:86932,Salaried:79262,0
D,46,2023,80,STEM,Salaried,IT,Finance,74688,59953,PQR,0,NA,NA,NA,0
D,45,2021,68,Business,Contractual,IT,Agriculture,33231,20250,GHI,0,NA,NA,NA,1
D,44,2020,66,STEM,Contractual,Finance,IT,131389,48166,PQR,0,NA,NA,NA,0
C,42,2012,85,Arts,Self Business,IT,Civil,89684,65732,XYZ,1,Salaried:117785,Self Business:101333,Contractual:149871,0
D,42,2004,87,Law,Salaried,Civil,IT,128311,68701,TUK,1,Self Business:122436,Self Business:42959,Salaried:103480,0
D,46,2001,58,STEM,Salaried,Agriculture,Agriculture,129951,20536,PQR,1,Salaried:131203,Salaried:82893,Self Business:102893,0
P,50,2022,74,Arts,Salaried,Civil,Finance,140612,79372,GHI,1,Contractual:99447,Contractual:125557,Contractual:61332,0
D,48,2006,41,Business,Salaried,Agriculture,Agriculture,142174,65299,ABC,0,NA,NA,NA,0
D,40,2023,48,Business,Contractual,IT,Finance,100190,62184,TUK,1,Contractual:142629,Contractual:130794,Contractual:111272,0
P,41,2018,46,Arts,Contractual,Agriculture,Civil,43363,34787,ABC,0,NA,NA,NA,1
C,42,2013,58,Law,Self Business,IT,Finance,96729,21683,ABC,0,NA,NA,NA,0
Q,47,2005,47,Business,Self Business,IT,Finance,114040,27021,ABC,1,Contractual:73564,Salaried:47799,Contractual:49679,0
P,47,2014,85,Arts,Self Business,Civil,Civil,87983,71105,PQR,1,Self Business:21709,Self Business:24008,Contractual:40249,1
Q,45,2010,54,Arts,Contractual,Civil,IT,34763,43821,PQR,1,Self Business:63863,Self Business:139659,Contractual:111516,1
Q,44,2015,75,Arts,Contractual,Finance,Finance,54136,58390,GHI,0,NA,NA,NA,0
P,43,2022,62,Arts,Contractual,Agriculture,Agriculture,58529,20091,MNP,1,Salaried:125795,Salaried:80873,Contractual:67777,1
Q,45,2021,67,Law,Self Business,Agriculture,Civil,116703,68159,XYZ,0,NA,NA,NA,1
Q,45,2019,73,Business,Contractual,Finance,Civil,29185,73224,ABC,1,Salaried:76722,Salaried:120590,Self Business:48279,1
Q,40,2003,48,STEM,Contractual,Agriculture,Civil,36969,37844,GHI,0,NA,NA,NA,1
P,49,2010,75,Arts,Self Business,Finance,Agriculture,45304,40046,ABC,0,NA,NA,NA,0
C,44,2003,87,Law,Self Business,Civil,IT,126136,24036,MNP,0,NA,NA,NA,1
P,50,2015,63,STEM,Contractual,IT,Finance,60263,50368,PQR,0,NA,NA,NA,0
P,41,2003,52,Arts,Salaried,Civil,Finance,125374,48838,ABC,1,Salaried:83409,Self Business:95944,Contractual:69201,0
P,46,2002,77,STEM,Self Business,Agriculture,Agriculture,40396,34659,GHI,1,Contractual:117972,Contractual:137216,Salaried:65211,1
Q,41,2007,48,Law,Contractual,Agriculture,Agriculture,86852,48706,MNP,1,Salaried:27394,Self Business:32976,Salaried:39482,1
D,49,2023,41,Business,Contractual,Civil,Agriculture,41265,43567,ABC,0,NA,NA,NA,0
Q,47,2004,90,Law,Salaried,Civil,IT,45027,69559,ABC,1,Contractual:126068,Contractual:83453,Contractual:127249,1
Q,50,2010,84,Law,Salaried,Finance,Agriculture,103563,38465,TUK,1,Contractual:29025,Salaried:22598,Contractual:39254,1
Q,44,2012,41,Law,Contractual,Finance,Agriculture,64434,31847,PQR,1,Salaried:115746,Self Business:137747,Self Business:142645,0
C,41,2010,45,Business,Self Business,IT,IT,55226,52383,GHI,0,NA,NA,NA,0
D,46,2021,55,Law,Self Business,Civil,Civil,57502,52486,MNP,1,Contractual:104738,Salaried:117046,Self Business:61351,1
C,44,2018,71,STEM,Contractual,Finance,IT,84531,47470,MNP,1,Salaried:36117,Self Business:31870,Contractual:39361,1
D,50,2007,86,Law,Self Business,Civil,Finance,127195,49905,TUK,1,Self Business:65058,Contractual:136200,Self Business:70182,0
P,46,2004,67,Law,Contractual,Finance,Finance,94620,72136,TUK,1,Salaried:25044,Salaried:24627,Contractual:40919,1
P,44,2014,78,Law,Contractual,IT,Civil,139344,20801,XYZ,0,NA,NA,NA,0
D,40,2002,84,Arts,Salaried,Finance,Civil,94899,48600,GHI,0,NA,NA,NA,0
P,49,1998,65,Arts,Contractual,Civil,IT,114858,67071,ABC,1,Salaried:115410,Self Business:141439,Contractual:132238,1
P,41,2012,88,Business,Salaried,Finance,Civil,83370,29687,MNP,0,NA,NA,NA,1
Q,44,2020,81,Business,Self Business,Civil,Finance,65379,29971,XYZ,1,Salaried:49675,Salaried:129877,Salaried:46472,0
C,45,2022,48,Law,Contractual,IT,Civil,85853,26779,PQR,1,Salaried:26136,Salaried:22194,Contractual:39429,1
D,43,2002,54,Business,Self Business,Agriculture,Civil,106283,33010,XYZ,1,Contractual:119392,Self Business:102666,Contractual:51692,0
C,48,2020,54,Law,Contractual,Finance,Civil,134158,36620,MNP,1,Self Business:100730,Contractual:68933,Contractual:95901,0
C,48,2006,43,STEM,Contractual,Civil,Finance,116698,45057,XYZ,1,Self Business:38479,Self Business:33866,Self Business:39915,1
D,46,2014,72,Arts,Salaried,Finance,Civil,94415,71043,MNP,1,Contractual:94126,Self Business:76512,Salaried:73155,1
C,45,2004,58,STEM,Salaried,IT,Agriculture,149627,25208,ABC,1,Contractual:98295,Self Business:132722,Salaried:111173,0
C,48,2023,84,STEM,Self Business,Agriculture,IT,105269,55968,PQR,1,Salaried:109187,Self Business:106140,Self Business:100255,0
P,47,2004,84,Law,Self Business,Agriculture,Finance,67102,29698,ABC,0,NA,NA,NA,1
C,46,2005,75,Arts,Salaried,Civil,Finance,124537,46720,GHI,0,NA,NA,NA,0
P,47,2012,43,Arts,Contractual,Finance,IT,44565,77923,MNP,1,Salaried:134314,Self Business:49581,Salaried:148313,1
D,45,1999,80,Law,Contractual,Civil,Agriculture,28447,29672,TUK,0,NA,NA,NA,1
Q,40,2006,50,Law,Self Business,IT,IT,102968,76427,PQR,1,Self Business:138769,Self Business:51207,Self Business:127833,0
Q,42,2000,64,STEM,Self Business,Finance,Agriculture,93587,49078,ABC,1,Contractual:58749,Salaried:115606,Contractual:119740,0
Q,46,2016,55,Arts,Contractual,IT,IT,123129,28203,ABC,0,NA,NA,NA,0
P,47,2007,68,Arts,Contractual,Agriculture,IT,20714,34687,PQR,1,Self Business:117910,Self Business:66964,Self Business:68198,1
P,48,2023,66,Business,Self Business,Civil,Agriculture,86765,74972,TUK,1,Self Business:64586,Self Business:87735,Contractual:145925,1
Q,41,2002,89,STEM,Self Business,Civil,Civil,76935,38582,XYZ,1,Self Business:97148,Self Business:81229,Salaried:54331,1
C,50,2001,60,Law,Self Business,Civil,IT,72597,74566,XYZ,1,Self Business:33126,Contractual:26935,Self Business:40367,1
C,44,2019,77,STEM,Contractual,Agriculture,IT,106908,52820,TUK,0,NA,NA,NA,0
C,48,2006,82,Business,Contractual,Agriculture,IT,59590,77471,GHI,0,NA,NA,NA,0
C,40,2019,52,STEM,Contractual,Finance,Civil,36854,77098,GHI,0,NA,NA,NA,1
Q,45,2008,87,Arts,Salaried,IT,Finance,55771,33695,ABC,1,Salaried:45669,Salaried:144282,Self Business:64638,0
P,41,1998,76,Arts,Contractual,Civil,Agriculture,78885,37869,ABC,1,Salaried:124800,Self Business:59741,Salaried:86449,0
D,43,2002,76,Law,Self Business,IT,Agriculture,47562,59877,XYZ,1,Salaried:61246,Salaried:130344,Contractual:119788,1
D,49,2007,79,Business,Salaried,IT,IT,75778,45652,MNP,1,Salaried:31607,Contractual:33079,Self Business:39160,1
C,48,2013,77,STEM,Self Business,IT,Agriculture,98030,72064,PQR,1,Salaried:45157,Salaried:47536,Salaried:113180,0
P,45,2002,49,Law,Salaried,Agriculture,IT,82449,51326,MNP,0,NA,NA,NA,0
Q,47,2012,54,Arts,Contractual,Civil,Civil,41863,38850,XYZ,0,NA,NA,NA,0
D,47,2001,44,Law,Self Business,IT,Agriculture,72189,41896,GHI,0,NA,NA,NA,1
D,45,2018,89,Arts,Self Business,IT,IT,128862,44623,XYZ,0,NA,NA,NA,0
Q,43,2017,52,STEM,Contractual,Finance,Civil,60337,48659,ABC,1,Salaried:52684,Contractual:65449,Contractual:59511,0
C,50,1998,66,STEM,Salaried,Civil,Agriculture,84425,58325,MNP,1,Salaried:111056,Salaried:128666,Contractual:79174,0
D,40,2020,47,Law,Salaried,Agriculture,IT,69525,55706,GHI,0,NA,NA,NA,0
C,43,2020,72,STEM,Salaried,IT,Civil,83338,76063,MNP,0,NA,NA,NA,0
C,47,2008,69,STEM,Salaried,Finance,Civil,105205,68999,PQR,0,NA,NA,NA,0
P,42,2020,81,STEM,Self Business,Civil,Civil,109846,62224,ABC,1,Salaried:111537,Salaried:119396,Salaried:59325,1
C,46,2002,54,STEM,Salaried,IT,Finance,120994,29558,XYZ,0,NA,NA,NA,1
Q,45,2021,80,Law,Self Business,Agriculture,IT,136659,24811,TUK,1,Salaried:75951,Self Business:42894,Self Business:135385,0
P,40,1998,74,Law,Self Business,Agriculture,Civil,74403,31545,TUK,1,Contractual:76453,Contractual:149442,Contractual:97372,1
C,43,2014,63,Arts,Contractual,Civil,Agriculture,100596,71689,MNP,1,Salaried:58939,Salaried:85483,Salaried:113809,0
D,48,2016,49,STEM,Self Business,Agriculture,Agriculture,124444,25110,ABC,1,Contractual:55668,Contractual:57534,Self Business:139677,1
D,41,2021,76,STEM,Contractual,Finance,Finance,47533,52852,PQR,1,Self Business:97161,Contractual:51670,Self Business:43189,1
D,50,2019,88,Law,Contractual,Finance,Agriculture,145235,21988,XYZ,1,Contractual:49116,Self Business:117051,Contractual:67910,0
Q,40,2005,54,Law,Salaried,Civil,Civil,140074,46825,TUK,1,Contractual:127923,Self Business:134706,Salaried:93764,0
P,45,2008,54,Law,Contractual,Civil,IT,87030,65773,TUK,1,Contractual:93969,Contractual:135181,Self Business:117276,1
D,46,2022,52,STEM,Salaried,IT,Agriculture,133442,48206,XYZ,1,Self Business:30565,Salaried:31654,Self Business:39609,1
Q,50,2011,62,Law,Salaried,IT,Civil,40554,32054,MNP,0,NA,NA,NA,0
Q,48,1999,47,Business,Self Business,Agriculture,Civil,57350,54851,ABC,1,Salaried:119665,Contractual:74624,Self Business:44847,0
P,40,2008,65,Business,Contractual,Civil,Agriculture,118516,47061,TUK,1,Contractual:124666,Salaried:100253,Self Business:50457,0
P,50,2011,81,Law,Contractual,IT,Civil,32255,43014,XYZ,0,NA,NA,NA,1
C,44,2023,51,Business,Self Business,Civil,Civil,117890,56735,MNP,1,Salaried:145747,Contractual:140855,Salaried:120101,0
C,44,2023,41,Arts,Self Business,Civil,Agriculture,88416,38944,MNP,1,Self Business:108565,Contractual:65490,Self Business:116720,0
P,49,2016,41,Business,Self Business,Finance,Agriculture,72273,65465,TUK,0,NA,NA,NA,1
C,40,2013,43,Business,Self Business,Agriculture,Finance,42780,67720,ABC,0,NA,NA,NA,0
D,42,2008,56,Law,Salaried,IT,IT,96545,54984,PQR,0,NA,NA,NA,1
Q,40,2017,62,Law,Salaried,Finance,Agriculture,144345,23514,XYZ,1,Contractual:99284,Salaried:69505,Self Business:89670,0
P,47,2014,40,Arts,Self Business,Agriculture,IT,67631,23696,PQR,1,Self Business:44928,Self Business:54563,Contractual:113423,1
C,45,1998,66,Business,Contractual,Civil,Agriculture,50582,47662,MNP,1,Contractual:80554,Contractual:62057,Salaried:84653,0
P,40,2013,85,STEM,Contractual,IT,IT,102397,36048,TUK,0,NA,NA,NA,1
P,41,2013,82,STEM,Contractual,Finance,Civil,127335,31956,GHI,0,NA,NA,NA,1
C,50,2001,67,Business,Salaried,IT,Agriculture,62032,33592,ABC,1,Contractual:96573,Contractual:87681,Salaried:107461,1
Q,42,2009,57,Business,Contractual,Finance,Agriculture,73587,52605,TUK,1,Contractual:109925,Salaried:116926,Salaried:91260,0
C,49,2000,70,STEM,Contractual,Agriculture,Finance,136876,30903,MNP,1,Self Business:52430,Salaried:118264,Contractual:85519,1
Q,50,2009,90,Law,Salaried,Finance,Agriculture,147906,79970,TUK,0,NA,NA,NA,0
C,45,2021,50,Business,Self Business,Finance,Finance,142609,62565,XYZ,0,NA,NA,NA,0
C,42,2013,62,Business,Self Business,Agriculture,Civil,125845,32569,GHI,1,Self Business:102705,Contractual:91445,Self Business:61393,0
P,47,2008,48,STEM,Salaried,Agriculture,Finance,110808,62785,XYZ,0,NA,NA,NA,0
P,45,2015,71,STEM,Salaried,Agriculture,IT,104765,43661,PQR,1,Self Business:80523,Contractual:105930,Self Business:110896,0
C,40,2015,84,Business,Contractual,Agriculture,Finance,117142,70902,ABC,1,Self Business:121601,Contractual:80701,Self Business:59135,1
C,47,2001,48,STEM,Contractual,Agriculture,Civil,90961,53954,ABC,1,Contractual:98456,Contractual:118304,Self Business:97435,1
P,48,2002,55,Law,Salaried,IT,Finance,145771,40087,TUK,1,Contractual:44604,Contractual:71713,Contractual:96521,1
C,42,2019,45,Law,Salaried,Agriculture,Agriculture,46035,38505,TUK,1,Self Business:61763,Contractual:56479,Salaried:63593,0
C,49,2011,72,Arts,Salaried,Civil,Civil,112815,34897,TUK,1,Self Business:95551,Self Business:87415,Salaried:85907,0
C,48,2020,85,STEM,Contractual,IT,Civil,73175,22244,GHI,0,NA,NA,NA,0
C,47,2014,49,STEM,Contractual,IT,IT,105795,48104,MNP,1,Self Business:130745,Self Business:64521,Contractual:136548,0
D,46,2002,80,Law,Contractual,Agriculture,Finance,66923,51416,ABC,1,Salaried:38778,Contractual:34193,Salaried:39013,1
Q,43,2016,40,STEM,Contractual,Finance,Agriculture,31183,48802,PQR,1,Self Business:95909,Salaried:126586,Salaried:52333,1
D,43,2004,87,Business,Self Business,IT,Agriculture,142492,70297,XYZ,1,Contractual:44681,Contractual:71454,Contractual:127644,1
D,47,2013,40,STEM,Self Business,Agriculture,Civil,85364,31058,GHI,1,Contractual:40861,Contractual:83267,Contractual:111159,1
Q,50,2014,45,Arts,Salaried,Agriculture,IT,91689,60409,PQR,1,Contractual:42048,Self Business:64593,Self Business:57729,0
D,50,2015,65,Business,Contractual,Civil,Finance,55276,34576,TUK,1,Contractual:56600,Contractual:112258,Contractual:122073,0
P,50,2015,88,Arts,Contractual,Finance,Finance,109878,69934,TUK,0,NA,NA,NA,0
C,49,2013,79,STEM,Salaried,Agriculture,Finance,110137,67795,PQR,1,Contractual:99693,Salaried:46385,Self Business:55874,1
D,45,2023,62,Law,Contractual,Civil,Agriculture,112372,38273,GHI,1,Self Business:48655,Contractual:139302,Contractual:69142,0
C,43,2016,56,Business,Salaried,IT,Agriculture,83299,65251,XYZ,1,Salaried:113828,Contractual:106055,Self Business:98322,0
D,47,2022,41,Business,Salaried,Agriculture,Finance,81520,62276,ABC,1,Salaried:96314,Salaried:73463,Salaried:101542,0
Q,41,2020,83,Business,Contractual,Agriculture,Agriculture,125337,35029,XYZ,1,Contractual:25339,Contractual:36502,Contractual:39409,1
Q,47,2013,64,Business,Salaried,Agriculture,IT,52983,37007,TUK,1,Contractual:82998,Contractual:125688,Contractual:127154,1
P,46,2001,72,Law,Self Business,Agriculture,Civil,57753,24136,XYZ,0,NA,NA,NA,0
P,49,2007,63,Law,Salaried,Civil,Finance,140841,22654,GHI,0,NA,NA,NA,0
C,43,2021,73,Business,Contractual,IT,Civil,83610,46258,GHI,0,NA,NA,NA,0
Q,49,2019,41,STEM,Salaried,Agriculture,Finance,78780,24356,MNP,1,Salaried:30183,Self Business:25801,Contractual:39977,1
Q,50,2012,84,Law,Salaried,Civil,Agriculture,140533,25669,MNP,0,NA,NA,NA,0
Q,42,2018,59,Law,Self Business,IT,Agriculture,67455,39274,GHI,1,Salaried:109220,Contractual:90539,Contractual:61984,1
P,45,2011,84,STEM,Salaried,Finance,Finance,132061,59095,XYZ,1,Contractual:90167,Contractual:48658,Contractual:129709,0
C,45,2018,67,Business,Self Business,Agriculture,IT,125561,28421,XYZ,1,Contractual:145410,Contractual:85108,Salaried:121462,0
C,48,2001,68,STEM,Contractual,IT,Agriculture,120008,21835,MNP,1,Salaried:84987,Self Business:48206,Self Business:103776,0
Q,40,2020,41,Arts,Salaried,Agriculture,IT,104073,30102,XYZ,1,Salaried:95694,Salaried:46928,Self Business:87343,0
Q,47,2020,86,Law,Self Business,Agriculture,Civil,72249,64632,XYZ,1,Self Business:120035,Salaried:49372,Salaried:146658,1
Q,49,2021,60,Law,Self Business,Agriculture,Civil,83028,38755,ABC,1,Contractual:52889,Contractual:53675,Self Business:137231,1
C,43,2014,68,Law,Self Business,IT,Agriculture,104861,45629,XYZ,0,NA,NA,NA,0
C,43,2007,70,Arts,Salaried,IT,Finance,107051,51349,ABC,1,Self Business:28446,Self Business:37083,Self Business:39356,1
P,42,2006,66,Business,Contractual,Agriculture,Civil,139567,73808,MNP,0,NA,NA,NA,1
P,43,2000,51,Law,Salaried,Finance,Civil,96210,79194,GHI,1,Contractual:43003,Self Business:149661,Contractual:104412,1
D,43,2002,78,STEM,Contractual,Finance,Civil,147674,37506,PQR,1,Self Business:24149,Self Business:31827,Contractual:40403,1
P,45,1998,78,Arts,Salaried,Agriculture,Finance,79804,64927,TUK,1,Contractual:61245,Contractual:40777,Salaried:47476,0
P,46,2017,70,Law,Contractual,Finance,Civil,93591,55930,XYZ,0,NA,NA,NA,1
D,50,2001,87,Arts,Contractual,IT,IT,76746,38070,XYZ,1,Contractual:90221,Contractual:72833,Contractual:71023,1
Q,42,2011,65,STEM,Salaried,Finance,Civil,59596,46196,TUK,0,NA,NA,NA,0
P,43,1999,67,STEM,Self Business,Civil,IT,81662,77077,XYZ,1,Self Business:50073,Contractual:126216,Salaried:144861,0
D,40,2018,72,STEM,Contractual,Agriculture,IT,54099,36050,ABC,1,Salaried:91704,Salaried:139942,Salaried:74811,0
P,47,2023,78,STEM,Salaried,Finance,Finance,51147,20614,PQR,1,Self Business:134440,Self Business:118179,Contractual:74806,1
D,42,2001,73,Law,Self Business,Civil,IT,76912,50489,GHI,1,Self Business:125726,Salaried:44180,Contractual:65956,1
P,48,2021,53,Law,Self Business,Civil,Civil,105098,40741,PQR,0,NA,NA,NA,1
P,49,2021,69,Arts,Self Business,IT,Finance,138013,27293,MNP,1,Contractual:121674,Contractual:116343,Self Business:93597,1
D,42,2006,76,STEM,Self Business,IT,Agriculture,87769,68462,ABC,1,Self Business:134866,Contractual:42540,Salaried:88718,0
C,43,2009,44,Business,Salaried,Agriculture,Civil,127551,71478,MNP,0,NA,NA,NA,0
P,44,2001,86,Business,Contractual,Agriculture,Finance,87521,70126,PQR,1,Salaried:56382,Salaried:66367,Self Business:50681,0
C,46,2021,86,Law,Self Business,Finance,Civil,96277,67969,TUK,0,NA,NA,NA,1
P,50,1998,75,Business,Contractual,Agriculture,Civil,27176,69605,TUK,1,Salaried:74762,Self Business:62699,Salaried:60404,1
C,49,2002,90,Business,Salaried,Civil,Finance,50068,53729,XYZ,1,Contractual:86534,Contractual:81933,Contractual:84151,1
